galaxy,spec_id,contours_value,category,category_original,sn_5635,sn_4050,Hd_ew,Hb_ew,Oii_ew,Oiii_ew
A2744_01,A2744_01_11_13,1.5,Quenched,Post-Starburst,3.4022648726535563,4.078196901397959,2.272870294229176,0.0903214531460437,0.0982101364258951,-0.4866555950919373
A2744_01,A2744_01_11_14,1.5,Quenched,Post-Starburst,4.212305896404588,5.235637188835904,2.86234938859624,2.8344506674554792,0.3177366130731049,-0.12548341075749
A2744_01,A2744_01_11_15,3.0,Quenched,Post-Starburst,4.439371367383108,5.863074748836162,5.851155186231363,4.7115726057912095,1.3362771468926842,-0.7741666867949712
A2744_01,A2744_01_11_17,3.0,Quenched,Post-Starburst,5.115752337212702,7.067592971465354,5.887114333068404,5.80377979510195,0.9261187079273372,-1.8255187529356565
A2744_01,A2744_01_11_18,3.0,Quenched,Post-Starburst,4.586702479925917,7.127477527495158,7.292876263360179,8.287531061793741,1.8036835607169224,-0.2179866349688065
A2744_01,A2744_01_11_19,3.0,Quenched,Post-Starburst,3.958084511220466,6.7459263358929205,6.566232039366391,10.213534750563976,0.6329265817252114,0.1487421460085405
A2744_01,A2744_01_11_20,3.0,Quenched,Post-Starburst,3.387321970975661,6.005139074167471,6.577968631000633,12.52372060101751,0.2705894270222402,0.5935217708665053
A2744_01,A2744_01_12_13,3.0,Quenched,Post-Starburst,4.860880070148951,5.894096844947787,4.250599882998682,-0.7333349990212608,0.506485988458123,0.4396065677157404
A2744_01,A2744_01_12_14,5.0,Quenched,Post-Starburst,5.895000425669149,8.110866477632479,3.746237271035106,-0.8680154413508172,2.0742554500590016,0.4685466012368029
A2744_01,A2744_01_12_15,5.0,Quenched,Post-Starburst,6.398088188756296,8.204785914271683,4.89199075704207,3.0540482009248424,2.5549190119252216,-0.134671362289717
A2744_01,A2744_01_12_16,5.0,Quenched,Post-Starburst,7.219908879166234,8.84161447920093,4.999557125916022,2.597069196697594,1.9215227564138828,-0.2400931825727991
A2744_01,A2744_01_12_17,5.0,Quenched,Post-Starburst,7.1987095079047965,9.394559930426649,5.385689831433487,6.334510405448562,2.723712183399095,-1.0942525147468694
A2744_01,A2744_01_12_18,5.0,Quenched,Post-Starburst,6.779383756926416,9.649756037262444,6.265339602425685,8.217282646119468,2.85179789923523,-0.5792630662582479
A2744_01,A2744_01_12_19,5.0,Quenched,Post-Starburst,5.793019602938084,8.970206219711276,6.087730442359502,9.753841919598893,2.3295599746618736,-0.6869889199035013
A2744_01,A2744_01_12_20,5.0,Quenched,Post-Starburst,4.7129545451842185,8.227947419556914,6.355588452656293,11.789052416455108,0.998267621799054,0.0199026112763308
A2744_01,A2744_01_12_21,3.0,Quenched,Post-Starburst,3.8275535814768578,7.773089976219548,6.248812448462368,11.18125566842885,1.3868315723666491,-0.8598386679563277
A2744_01,A2744_01_13_13,5.0,Quenched,Post-Starburst,5.891390974792907,8.340295300112833,6.762466766667151,5.272058349531406,0.3252618070182432,0.7238761965892908
A2744_01,A2744_01_13_14,5.0,Quenched,Post-Starburst,6.971844264142256,11.179628687309268,5.512164435852857,3.714016633930763,1.006360525056326,0.9843641139271924
A2744_01,A2744_01_13_15,5.0,Quenched,Post-Starburst,7.781882916117153,10.707563293550873,6.078527285280666,3.6003075537571023,1.6832858831489463,0.6028125102549977
A2744_01,A2744_01_13_16,5.0,Quenched,Post-Starburst,9.057031114593144,12.129015719769733,5.982566333042625,3.8350069050699984,1.602865591567458,0.1715018914844769
A2744_01,A2744_01_13_17,5.0,Quenched,Post-Starburst,9.043420070889256,11.87595470675153,5.892179740209641,6.343589058893718,2.080419715866132,0.441372577583261
A2744_01,A2744_01_13_18,5.0,Quenched,Post-Starburst,8.33494725428324,12.009749273489517,6.565797802926242,7.350981684204762,2.5935155027460777,0.4787762753712546
A2744_01,A2744_01_13_19,5.0,Quenched,Post-Starburst,7.281933061189131,10.492938375900358,6.032283689431314,9.385977917436586,1.441578605208785,0.3851953136888137
A2744_01,A2744_01_13_20,5.0,Quenched,Post-Starburst,6.021978430759113,9.49576549183548,5.417890307654404,10.987896307312116,0.8330796846385182,0.8690662464102424
A2744_01,A2744_01_13_21,5.0,Quenched,Post-Starburst,4.878187746538976,8.707386200711378,5.69974132561434,10.83936785678404,1.4290750992336054,0.7289351827001865
A2744_01,A2744_01_14_10,1.5,Quenched,Post-Starburst,3.574062572711912,4.132324670137986,5.042649366578207,5.133127813232502,0.3222162954263554,0.399264207980224
A2744_01,A2744_01_14_13,5.0,Quenched,Post-Starburst,6.543275897524806,9.247422990996908,6.184882059171442,6.831224119517047,0.97070689238938,0.2983096824693074
A2744_01,A2744_01_14_14,5.0,Quenched,Post-Starburst,8.191278166046967,12.309078205271602,4.961471085785543,6.6251186402350095,0.8351023474292476,0.2858985454916561
A2744_01,A2744_01_14_15,5.0,Quenched,Post-Starburst,9.52883083550009,13.145476432390137,5.407914069766437,4.912731220743842,1.405214067991277,-0.0515465093876441
A2744_01,A2744_01_14_16,5.0,Quenched,Post-Starburst,10.99383040585241,14.115274149735706,5.733271317613953,5.331934297964524,2.2376417557337374,-0.1172842877936997
A2744_01,A2744_01_14_17,5.0,Quenched,Post-Starburst,11.345110070425276,13.771854673996604,5.872831679585329,6.4921303566373,2.7368552129649726,0.0117127714060703
A2744_01,A2744_01_14_18,5.0,Quenched,Post-Starburst,10.817198480605612,13.86957601954709,6.2914580816361525,7.17347036307606,2.9347463177338806,-0.0921003231286563
A2744_01,A2744_01_14_19,5.0,Quenched,Post-Starburst,10.076906992293532,11.761094403463392,5.885508589326352,8.15315914203251,2.412442763962108,-0.0439836319388499
A2744_01,A2744_01_14_20,5.0,Quenched,Post-Starburst,8.23636812668742,10.682802526595726,5.497630840520051,9.098295621293568,2.186837104577995,0.4017677306948436
A2744_01,A2744_01_14_21,5.0,Quenched,Post-Starburst,6.337592284768052,9.36850108684103,4.857513973785472,7.871064040876958,0.7374291770390533,0.2874180276821392
A2744_01,A2744_01_15_8,1.5,Quenched,Post-Starburst,3.1313594463547947,3.8716999160828336,1.259628517324548,0.8113426820331935,1.1639597151707377,2.415219105162381
A2744_01,A2744_01_15_9,1.5,Quenched,Post-Starburst,3.175593034298924,4.116953038361489,3.984044395111773,1.4352215923762528,2.187149250056909,2.3737786206889444
A2744_01,A2744_01_15_10,3.0,Quenched,Post-Starburst,3.926786628824574,4.640544003230454,4.283525348791256,2.7830601735274567,0.4109400120545938,-0.3842352537300637
A2744_01,A2744_01_15_11,3.0,Quenched,Post-Starburst,4.91630537868696,6.633899062856225,4.717469351573913,9.10155363479093,0.8951624566453309,-0.5571148622419533
A2744_01,A2744_01_15_13,5.0,Quenched,Post-Starburst,7.077594821043161,9.443540416062012,6.30841818465744,8.084232160570062,0.7201099352831,-0.1648627239985945
A2744_01,A2744_01_15_14,5.0,Quenched,Post-Starburst,8.757267291092193,11.155036201651672,4.716780520306233,7.782021974598862,0.7924038429850773,-0.1752917514041546
A2744_01,A2744_01_15_15,5.0,Quenched,Post-Starburst,10.077108631102654,12.322348616674736,5.204727933269793,6.970648405754248,1.4490663612121213,-0.2989681818707571
A2744_01,A2744_01_15_16,5.0,Quenched,Post-Starburst,11.322391403735772,13.56769033851564,5.710280300274887,6.025519033556067,1.700999702052982,-0.3301513566413668
A2744_01,A2744_01_15_17,5.0,Quenched,Post-Starburst,11.31264808460316,14.254456901500951,5.849573939533398,5.880624676114901,2.639285705412556,-0.2446040040114626
A2744_01,A2744_01_15_18,5.0,Quenched,Post-Starburst,10.408267754563182,13.882948293756169,6.007949314956251,6.031745020675665,2.504355063950748,-0.3831561835692785
A2744_01,A2744_01_15_19,5.0,Quenched,Post-Starburst,10.164044528364103,11.918720814508788,5.926811730000218,6.995039018933606,2.3908859685729427,-0.3469553599282585
A2744_01,A2744_01_15_20,5.0,Quenched,Post-Starburst,8.26077325184659,10.989861261276296,5.103053478323679,7.823010202411144,2.080117993763684,-0.2264082174127839
A2744_01,A2744_01_15_21,5.0,Quenched,Post-Starburst,6.658803480219103,9.82083553001463,4.669399681933997,6.7762693396945295,1.3649767906887609,0.0078613185798221
A2744_01,A2744_01_16_8,1.5,Quenched,Post-Starburst,3.1339875613147634,3.89289062245874,0.2333005405133953,-1.886066828214855,4.019563668433361,0.3925496559544983
A2744_01,A2744_01_16_9,1.5,Quenched,Post-Starburst,3.331036882396813,4.264950100747872,2.2560415159042515,-1.6694651573006527,4.308765049917618,0.6214408196796068
A2744_01,A2744_01_16_10,3.0,Quenched,Post-Starburst,3.946100483255895,5.113267396935514,2.979841535454284,1.0130308073357532,4.233900134360063,-0.7689734558569326
A2744_01,A2744_01_16_11,3.0,Quenched,Post-Starburst,4.560552613391396,7.0730512004449695,4.411230325792732,6.994635322839713,3.43284136031642,-0.635709518370541
A2744_01,A2744_01_16_12,5.0,Quenched,Post-Starburst,4.965607063009285,8.545817370724597,6.331736563182967,5.538763339026218,0.6472069941381495,-1.0440731163700274
A2744_01,A2744_01_16_13,5.0,Quenched,Post-Starburst,6.475642847625632,9.684979283651217,7.269260152032167,7.687305088208256,1.2412573942370813,-0.8015943578706021
A2744_01,A2744_01_16_14,5.0,Quenched,Post-Starburst,8.288918807290637,10.717460510880818,5.604200532658954,9.594686699413424,1.5316287384320102,-0.8034382056455883
